reference,world-heritage-convention-site,wikipedia,wikidata,start-date,end-date
1000089,370,Durham_Castle_and_Cathedral,Q52169758,,
1000090,371,Ironbridge_Gorge,Q647958,,
1000091,425,Blenheim_Palace,Q208181,,
1000092,488,Tower_of_London,Q62378,,
1000093,496,Canterbury_Cathedral,Q29265,,
1000094,372,Studley_Royal_Park,Q259173,,
1000095,426,Palace_of_Westminster,Q62408,,
1000096,795,Old_Royal_Naval_College,Q1753590,,
1000097,373,"Stonehenge,_Avebury_and_Associated_Sites",Q587584,,
1000098,430,Hadrian%27s_Wall,Q57357,,
1000099,1028,Saltaire,Q838920,,
1000100,1030,Derwent_Valley_Mills,Q646076,,
1000101,1029,Jurassic_Coast,Q575976,,
1000102,1084,"Royal_Botanic_Gardens,_Kew",Q18748726,,
1000103,428,"Bath,_Somerset",Q22889,,
1000104,1150,Liverpool_Maritime_Mercantile_City,Q2021552,,2021-07-21
1000105,1215,Cornwall_and_West_Devon_Mining_Landscape,Q464566,,
1000106,1303,Pontcysyllte_Aqueduct,Q158822,,
1452615,422,Lake_District,Q211778,,
1466112,1594,Jodrell_Bank_Observatory,Q1569783,,
